"data","curs"
"24.11.2017",58.4622
"23.11.2017",59.0061
"22.11.2017",59.4604
"21.11.2017",59.2746
"18.11.2017",59.6325
"17.11.2017",59.9898
"16.11.2017",60.249
"15.11.2017",59.6207
"14.11.2017",59.1823
"11.11.2017",59.2808
"10.11.2017",59.2527
"09.11.2017",59.248
"08.11.2017",58.4557
"04.11.2017",58.4296
"03.11.2017",58.0869
"02.11.2017",58.1557
"01.11.2017",58.1179
"31.10.2017",57.8716
"28.10.2017",58.0833
"27.10.2017",57.7643
"26.10.2017",57.614
"25.10.2017",57.5852
"24.10.2017",57.4706
"21.10.2017",57.5118
"20.10.2017",57.5706
"19.10.2017",57.2721
"18.10.2017",57.3392
"17.10.2017",57.0861
"14.10.2017",57.6196
"13.10.2017",57.6869
"12.10.2017",57.921
"11.10.2017",58.0713
"10.10.2017",58.3151
"07.10.2017",57.7612
"06.10.2017",57.5811
"05.10.2017",57.7832
"04.10.2017",57.9375
"03.10.2017",57.8134
"30.09.2017",58.0169
"29.09.2017",58.4255
"28.09.2017",58.0102
"27.09.2017",57.5186
"26.09.2017",57.566
"23.09.2017",57.6527
"22.09.2017",58.2242
"21.09.2017",58.129
"20.09.2017",58.0993
"19.09.2017",57.6242
"16.09.2017",57.5336
"15.09.2017",57.7706
"14.09.2017",57.6679
"13.09.2017",57.2656
"12.09.2017",57.1694
"09.09.2017",56.9966
"08.09.2017",57.1411
"07.09.2017",57.3387
"06.09.2017",57.8503
"05.09.2017",57.7817
"02.09.2017",58.0557
"01.09.2017",58.5454
"31.08.2017",58.7306
"30.08.2017",58.532
"29.08.2017",58.5469
"26.08.2017",59.1476
"25.08.2017",59.1397
"24.08.2017",59.1312
"23.08.2017",59.0396
"22.08.2017",59.1409
"19.08.2017",59.3612
"18.08.2017",59.249
"17.08.2017",59.6521
"16.08.2017",59.9266
"15.08.2017",59.799
"12.08.2017",60.1873
"11.08.2017",59.9298
"10.08.2017",59.9611
"09.08.2017",59.9886
"08.08.2017",60.0605
"05.08.2017",60.3281
"04.08.2017",60.7503
"03.08.2017",60.5819
"02.08.2017",59.8454
"01.08.2017",60.0633
"29.07.2017",59.5436
"28.07.2017",59.4102
"27.07.2017",59.9102
"26.07.2017",59.8185
"25.07.2017",59.6572
"22.07.2017",58.9325
"21.07.2017",59.0823
"20.07.2017",59.2418
"19.07.2017",59.3705
"18.07.2017",59.0657
"15.07.2017",59.8806
"14.07.2017",60.1836
"13.07.2017",60.6227
"12.07.2017",60.7397
"11.07.2017",60.3014
"08.07.2017",60.3792
"07.07.2017",60.2426
"06.07.2017",59.5787
"05.07.2017",59.2295
"04.07.2017",58.9695
"01.07.2017",59.3862
"30.06.2017",59.0855
"29.06.2017",59.5415
"28.06.2017",58.8843
"27.06.2017",59.0014
